"","Train","Station","StopID","LineName"
"1","1","""Van Cortlandt Park - 242 St""","101","1"
"2","1","""238 St""","103","1"
"3","1","""231 St""","104","1"
"4","1","""Marble Hill - 225 St""","106","1"
"5","1","""215 St""","107","1"
"6","1","""207 St""","108","1"
"7","1","""Dyckman St""","109","1"
"8","1","""191 St""","110","1"
"9","1","""181 St""","111","1"
"10","1","""168 St - Washington Hts""","112","1"
"11","1","""157 St""","113","1"
"12","1","""145 St""","114","1"
"13","1","""137 St - City College""","115","1"
"14","1","""125 St""","116","1"
"15","1","""116 St - Columbia University""","117","1"
"16","1","""Cathedral Pkwy""","118","1"
"17","1","""103 St""","119","1"
"18","1","""96 St""","120","123"
"19","1","""86 St""","121","1"
"20","1","""79 St""","122","1"
"21","1","""72 St""","123","123"
"22","1","""66 St - Lincoln Center""","124","1"
"23","1","""59 St - Columbus Circle""","125","1"
"24","1","""50 St""","126","1"
"25","1","""Times Sq - 42 St""","127","123"
"26","1","""34 St - Penn Station""","128","123"
"27","1","""28 St""","129","1"
"28","1","""23 St""","130","1"
"29","1","""18 St""","131","1"
"30","1","""14 St""","132","123"
"31","1","""Christopher St - Sheridan Sq""","133","1"
"32","1","""Houston St""","134","1"
"33","1","""Canal St""","135","1"
"34","1","""Franklin St""","136","1"
"35","1","""Chambers St""","137","123"
"36","1","""Cortlandt St""","138","1"
"37","1","""Rector St""","139","1"
"38","1","""South Ferry Loop""","140","1"
"39","2","""96 St""","120","123"
"40","2","""72 St""","123","123"
"41","2","""Times Sq - 42 St""","127","123"
"42","2","""34 St - Penn Station""","128","123"
"43","2","""14 St""","132","123"
"44","2","""Chambers St""","137","123"
"45","2","""Wakefield - 241 St""","201","2"
"46","2","""Nereid Av""","204","25"
"47","2","""233 St""","205","25"
"48","2","""225 St""","206","25"
"49","2","""219 St""","207","25"
"50","2","""Gun Hill Rd""","208","25"
"51","2","""Burke Av""","209","25"
"52","2","""Allerton Av""","210","25"
"53","2","""Pelham Pkwy""","211","25"
"54","2","""Bronx Park East""","212","25"
"55","2","""E 180 St""","213","25"
"56","2","""West Farms Sq - E Tremont Av""","214","2"
"57","2","""174 St""","215","2"
"58","2","""Freeman St""","216","2"
"59","2","""Simpson St""","217","2"
"60","2","""Intervale Av""","218","2"
"61","2","""Prospect Av""","219","2"
"62","2","""Jackson Av""","220","2"
"63","2","""3 Av - 149 St""","221","25"
"64","2","""149 St - Grand Concourse""","222","25"
"65","2","""135 St""","224","23"
"66","2","""125 St""","225","23"
"67","2","""116 St""","226","23"
"68","2","""Central Park North (110 St)""","227","23"
"69","2","""Park Pl""","228","23"
"70","2","""Fulton St""","229","23"
"71","2","""Wall St""","230","23"
"72","2","""Clark St""","231","23"
"73","2","""Borough Hall""","232","23"
"74","2","""Hoyt St""","233","23"
"75","2","""Nevins St""","234","2345"
"76","2","""Atlantic Av - Barclays Ctr""","235","2345"
"77","2","""Bergen St""","236","234"
"78","2","""Grand Army Plaza""","237","234"
"79","2","""Eastern Pkwy - Brooklyn Museum""","238","234"
"80","2","""Franklin Av""","239","2345"
"81","2","""President St""","241","2"
"82","2","""Sterling St""","242","25"
"83","2","""Winthrop St""","243","25"
"84","2","""Church Av""","244","25"
"85","2","""Beverly Rd""","245","25"
"86","2","""Newkirk Av""","246","25"
"87","2","""Flatbush Av - Brooklyn College""","247","25"
"88","3","""96 St""","120","123"
"89","3","""72 St""","123","123"
