sto, "stop_name"
101, "Van Cortlandt Park - 242 St"
101, "Van Cortlandt Park - 242 St"
101, "Van Cortlandt Park - 242 St"
103, "238 St"
103, "238 St"
103, "238 St"
104, "231 St"
104, "231 St"
104, "231 St"
106, "Marble Hill - 225 St"
106, "Marble Hill - 225 St"
106, "Marble Hill - 225 St"
107, "215 St"
107, "215 St"
107, "215 St"
108, "207 St"
108, "207 St"
108, "207 St"
109, "Dyckman St"
109, "Dyckman St"
109, "Dyckman St"
110, "191 St"
110, "191 St"
110, "191 St"
111, "181 St"
111, "181 St"
111, "181 St"
112, "168 St - Washington Hts"
112, "168 St - Washington Hts"
112, "168 St - Washington Hts"
113, "157 St"
113, "157 St"
113, "157 St"
114, "145 St"
114, "145 St"
114, "145 St"
115, "137 St - City College"
115, "137 St - City College"
115, "137 St - City College"
116, "125 St"
116, "125 St"
116, "125 St"
117, "116 St - Columbia University"
117, "116 St - Columbia University"
117, "116 St - Columbia University"
118, "Cathedral Pkwy"
118, "Cathedral Pkwy"
118, "Cathedral Pkwy"
119, "103 St"
119, "103 St"
119, "103 St"
120, "96 St"
120, "96 St"
120, "96 St"
121, "86 St"
121, "86 St"
121, "86 St"
122, "79 St"
122, "79 St"
122, "79 St"
123, "72 St"
123, "72 St"
123, "72 St"
124, "66 St - Lincoln Center"
124, "66 St - Lincoln Center"
124, "66 St - Lincoln Center"
125, "59 St - Columbus Circle"
125, "59 St - Columbus Circle"
125, "59 St - Columbus Circle"
126, "50 St"
126, "50 St"
126, "50 St"
127, "Times Sq - 42 St"
127, "Times Sq - 42 St"
127, "Times Sq - 42 St"
128, "34 St - Penn Station"
128, "34 St - Penn Station"
128, "34 St - Penn Station"
129, "28 St"
129, "28 St"
129, "28 St"
130, "23 St"
130, "23 St"
130, "23 St"
131, "18 St"
131, "18 St"
131, "18 St"
132, "14 St"
132, "14 St"
132, "14 St"
133, "Christopher St - Sheridan Sq"
133, "Christopher St - Sheridan Sq"
133, "Christopher St - Sheridan Sq"
134, "Houston St"
134, "Houston St"
134, "Houston St"
135, "Canal St"
135, "Canal St"
135, "Canal St"
136, "Franklin St"
136, "Franklin St"
136, "Franklin St"
137, "Chambers St"
137, "Chambers St"
137, "Chambers St"
138, "Cortlandt St"
138, "Cortlandt St"
138, "Cortlandt St"
139, "Rector St"
139, "Rector St"
139, "Rector St"
140, "South Ferry Loop"
140, "South Ferry Loop"
140, "South Ferry Loop"
201, "Wakefield - 241 St"
201, "Wakefield - 241 St"
201, "Wakefield - 241 St"
204, "Nereid Av"
204, "Nereid Av"
204, "Nereid Av"
205, "233 St"
205, "233 St"
205, "233 St"
206, "225 St"
206, "225 St"
206, "225 St"
207, "219 St"
207, "219 St"
207, "219 St"
208, "Gun Hill Rd"
208, "Gun Hill Rd"
208, "Gun Hill Rd"
209, "Burke Av"
209, "Burke Av"
209, "Burke Av"
210, "Allerton Av"
210, "Allerton Av"
210, "Allerton Av"
211, "Pelham Pkwy"
211, "Pelham Pkwy"
211, "Pelham Pkwy"
212, "Bronx Park East"
212, "Bronx Park East"
212, "Bronx Park East"
213, "E 180 St"
213, "E 180 St"
213, "E 180 St"
214, "West Farms Sq - E Tremont Av"
214, "West Farms Sq - E Tremont Av"
214, "West Farms Sq - E Tremont Av"
215, "174 St"
215, "174 St"
215, "174 St"
216, "Freeman St"
216, "Freeman St"
216, "Freeman St"
217, "Simpson St"
217, "Simpson St"
217, "Simpson St"
218, "Intervale Av"
218, "Intervale Av"
218, "Intervale Av"
219, "Prospect Av"
219, "Prospect Av"
219, "Prospect Av"
220, "Jackson Av"
220, "Jackson Av"
220, "Jackson Av"
221, "3 Av - 149 St"
221, "3 Av - 149 St"
221, "3 Av - 149 St"
222, "149 St - Grand Concourse"
222, "149 St - Grand Concourse"
222, "149 St - Grand Concourse"
224, "135 St"
224, "135 St"
224, "135 St"
225, "125 St"
225, "125 St"
225, "125 St"
226, "116 St"
226, "116 St"
226, "116 St"
227, "Central Park North (110 St)"
227, "Central Park North (110 St)"
227, "Central Park North (110 St)"
228, "Park Pl"
228, "Park Pl"
228, "Park Pl"
229, "Fulton St"
229, "Fulton St"
229, "Fulton St"
230, "Wall St"
230, "Wall St"
230, "Wall St"
231, "Clark St"
231, "Clark St"
231, "Clark St"
232, "Borough Hall"
232, "Borough Hall"
232, "Borough Hall"
233, "Hoyt St"
233, "Hoyt St"
233, "Hoyt St"
234, "Nevins St"
234, "Nevins St"
234, "Nevins St"
235, "Atlantic Av - Barclays Ctr"
235, "Atlantic Av - Barclays Ctr"
235, "Atlantic Av - Barclays Ctr"
236, "Bergen St"
236, "Bergen St"
236, "Bergen St"
237, "Grand Army Plaza"
237, "Grand Army Plaza"
237, "Grand Army Plaza"
238, "Eastern Pkwy - Brooklyn Museum"
238, "Eastern Pkwy - Brooklyn Museum"
238, "Eastern Pkwy - Brooklyn Museum"
239, "Franklin Av"
239, "Franklin Av"
239, "Franklin Av"
241, "President St"
241, "President St"
241, "President St"
242, "Sterling St"
242, "Sterling St"
242, "Sterling St"
243, "Winthrop St"
243, "Winthrop St"
243, "Winthrop St"
244, "Church Av"
244, "Church Av"
244, "Church Av"
245, "Beverly Rd"
245, "Beverly Rd"
245, "Beverly Rd"
246, "Newkirk Av"
246, "Newkirk Av"
246, "Newkirk Av"
247, "Flatbush Av - Brooklyn College"
247, "Flatbush Av - Brooklyn College"
247, "Flatbush Av - Brooklyn College"
248, "Nostrand Av"
248, "Nostrand Av"
248, "Nostrand Av"
249, "Kingston Av"
249, "Kingston Av"
249, "Kingston Av"
250, "Crown Hts - Utica Av"
250, "Crown Hts - Utica Av"
250, "Crown Hts - Utica Av"
251, "Sutter Av - Rutland Rd"
251, "Sutter Av - Rutland Rd"
251, "Sutter Av - Rutland Rd"
252, "Saratoga Av"
252, "Saratoga Av"
252, "Saratoga Av"
253, "Rockaway Av"
253, "Rockaway Av"
253, "Rockaway Av"
254, "Junius St"
254, "Junius St"
254, "Junius St"
255, "Pennsylvania Av"
255, "Pennsylvania Av"
255, "Pennsylvania Av"
256, "Van Siclen Av"
256, "Van Siclen Av"
256, "Van Siclen Av"
257, "New Lots Av"
257, "New Lots Av"
257, "New Lots Av"
301, "Harlem - 148 St"
301, "Harlem - 148 St"
301, "Harlem - 148 St"
302, "145 St"
302, "145 St"
302, "145 St"
401, "Woodlawn"
401, "Woodlawn"
401, "Woodlawn"
402, "Mosholu Pkwy"
402, "Mosholu Pkwy"
402, "Mosholu Pkwy"
405, "Bedford Park Blvd - Lehman College"
405, "Bedford Park Blvd - Lehman College"
405, "Bedford Park Blvd - Lehman College"
406, "Kingsbridge Rd"
406, "Kingsbridge Rd"
406, "Kingsbridge Rd"
407, "Fordham Rd"
407, "Fordham Rd"
407, "Fordham Rd"
408, "183 St"
408, "183 St"
408, "183 St"
409, "Burnside Av"
409, "Burnside Av"
409, "Burnside Av"
410, "176 St"
410, "176 St"
410, "176 St"
411, "Mt Eden Av"
411, "Mt Eden Av"
411, "Mt Eden Av"
412, "170 St"
412, "170 St"
412, "170 St"
413, "167 St"
413, "167 St"
413, "167 St"
414, "161 St - Yankee Stadium"
414, "161 St - Yankee Stadium"
414, "161 St - Yankee Stadium"
415, "149 St - Grand Concourse"
415, "149 St - Grand Concourse"
415, "149 St - Grand Concourse"
416, "138 St - Grand Concourse"
416, "138 St - Grand Concourse"
416, "138 St - Grand Concourse"
418, "Fulton St"
418, "Fulton St"
418, "Fulton St"
419, "Wall St"
419, "Wall St"
419, "Wall St"
420, "Bowling Green"
420, "Bowling Green"
420, "Bowling Green"
423, "Borough Hall"
423, "Borough Hall"
423, "Borough Hall"
501, "Eastchester - Dyre Av"
501, "Eastchester - Dyre Av"
501, "Eastchester - Dyre Av"
502, "Baychester Av"
502, "Baychester Av"
502, "Baychester Av"
503, "Gun Hill Rd"
503, "Gun Hill Rd"
503, "Gun Hill Rd"
504, "Pelham Pkwy"
504, "Pelham Pkwy"
504, "Pelham Pkwy"
505, "Morris Park"
505, "Morris Park"
505, "Morris Park"
601, "Pelham Bay Park"
601, "Pelham Bay Park"
601, "Pelham Bay Park"
602, "Buhre Av"
602, "Buhre Av"
602, "Buhre Av"
603, "Middletown Rd"
603, "Middletown Rd"
603, "Middletown Rd"
604, "Westchester Sq - E Tremont Av"
604, "Westchester Sq - E Tremont Av"
604, "Westchester Sq - E Tremont Av"
606, "Zerega Av"
606, "Zerega Av"
606, "Zerega Av"
607, "Castle Hill Av"
607, "Castle Hill Av"
607, "Castle Hill Av"
608, "Parkchester"
608, "Parkchester"
608, "Parkchester"
609, "St Lawrence Av"
609, "St Lawrence Av"
609, "St Lawrence Av"
610, "Morrison Av- Sound View"
610, "Morrison Av- Sound View"
610, "Morrison Av- Sound View"
611, "Elder Av"
611, "Elder Av"
611, "Elder Av"
612, "Whitlock Av"
612, "Whitlock Av"
612, "Whitlock Av"
613, "Hunts Point Av"
613, "Hunts Point Av"
613, "Hunts Point Av"
614, "Longwood Av"
614, "Longwood Av"
614, "Longwood Av"
615, "E 149 St"
615, "E 149 St"
615, "E 149 St"
616, "E 143 St - St Mary's St"
616, "E 143 St - St Mary's St"
616, "E 143 St - St Mary's St"
617, "Cypress Av"
617, "Cypress Av"
617, "Cypress Av"
618, "Brook Av"
618, "Brook Av"
618, "Brook Av"
619, "3 Av - 138 St"
619, "3 Av - 138 St"
619, "3 Av - 138 St"
621, "125 St"
621, "125 St"
621, "125 St"
622, "116 St"
622, "116 St"
622, "116 St"
623, "110 St"
623, "110 St"
623, "110 St"
624, "103 St"
624, "103 St"
624, "103 St"
625, "96 St"
625, "96 St"
625, "96 St"
626, "86 St"
626, "86 St"
626, "86 St"
627, "77 St"
627, "77 St"
627, "77 St"
628, "68 St - Hunter College"
628, "68 St - Hunter College"
628, "68 St - Hunter College"
629, "59 St"
629, "59 St"
629, "59 St"
630, "51 St"
630, "51 St"
630, "51 St"
631, "Grand Central - 42 St"
631, "Grand Central - 42 St"
631, "Grand Central - 42 St"
632, "33 St"
632, "33 St"
632, "33 St"
633, "28 St"
633, "28 St"
633, "28 St"
634, "23 St"
634, "23 St"
634, "23 St"
635, "14 St - Union Sq"
635, "14 St - Union Sq"
635, "14 St - Union Sq"
636, "Astor Pl"
636, "Astor Pl"
636, "Astor Pl"
637, "Bleecker St"
637, "Bleecker St"
637, "Bleecker St"
638, "Spring St"
638, "Spring St"
638, "Spring St"
639, "Canal St"
639, "Canal St"
639, "Canal St"
640, "Brooklyn Bridge - City Hall"
640, "Brooklyn Bridge - City Hall"
640, "Brooklyn Bridge - City Hall"
701, "Flushing - Main St"
701, "Flushing - Main St"
701, "Flushing - Main St"
702, "Mets - Willets Point"
702, "Mets - Willets Point"
702, "Mets - Willets Point"
705, "111 St"
705, "111 St"
705, "111 St"
706, "103 St - Corona Plaza"
706, "103 St - Corona Plaza"
706, "103 St - Corona Plaza"
707, "Junction Blvd"
707, "Junction Blvd"
707, "Junction Blvd"
708, "90 St - Elmhurst Av"
708, "90 St - Elmhurst Av"
708, "90 St - Elmhurst Av"
709, "82 St - Jackson Hts"
709, "82 St - Jackson Hts"
709, "82 St - Jackson Hts"
710, "74 St - Broadway"
710, "74 St - Broadway"
710, "74 St - Broadway"
711, "69 St"
711, "69 St"
711, "69 St"
712, "Woodside - 61 St"
712, "Woodside - 61 St"
712, "Woodside - 61 St"
713, "52 St"
713, "52 St"
713, "52 St"
714, "46 St"
714, "46 St"
714, "46 St"
715, "40 St"
715, "40 St"
715, "40 St"
716, "33 St"
716, "33 St"
716, "33 St"
718, "Queensboro Plaza"
718, "Queensboro Plaza"
718, "Queensboro Plaza"
719, "Court Sq"
719, "Court Sq"
719, "Court Sq"
720, "Hunters Point Av"
720, "Hunters Point Av"
720, "Hunters Point Av"
721, "Vernon Blvd - Jackson Av"
721, "Vernon Blvd - Jackson Av"
721, "Vernon Blvd - Jackson Av"
723, "Grand Central - 42 St"
723, "Grand Central - 42 St"
723, "Grand Central - 42 St"
724, "5 Av"
724, "5 Av"
724, "5 Av"
725, "Times Sq - 42 St"
725, "Times Sq - 42 St"
725, "Times Sq - 42 St"
901, "Grand Central - 42 St"
901, "Grand Central - 42 St"
901, "Grand Central - 42 St"
902, "Times Sq - 42 St"
902, "Times Sq - 42 St"
902, "Times Sq - 42 St"
A02, "Inwood - 207 St"
A02, "Inwood - 207 St"
A02, "Inwood - 207 St"
A03, "Dyckman St"
A03, "Dyckman St"
A03, "Dyckman St"
A05, "190 St"
A05, "190 St"
A05, "190 St"
A06, "181 St"
A06, "181 St"
A06, "181 St"
A07, "175 St"
A07, "175 St"
A07, "175 St"
A09, "168 St"
A09, "168 St"
A09, "168 St"
A10, "163 St - Amsterdam Av"
A10, "163 St - Amsterdam Av"
